numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
182,Todo ciudadano de la Unión que resida en un Estado miembro del que no sea nacional tendrá derecho:,De sufragio activo.,De sufragio pasivo.,"De sufragio activo y pasivo en las elecciones municipales del Estado miembro en que resida, en las mismas condiciones que los nacionales de ese estado.",Ninguna es correcta.,C,"De sufragio activo y pasivo en las elecciones municipales del Estado miembro en que resida, en las mismas condiciones que los nacionales de ese estado.","182. Todo ciudadano de la Unión que resida en un Estado miembro del que no sea nacional tendrá derecho:
A) De sufragio activo.
B) De sufragio pasivo.
C) De sufragio activo y pasivo en las elecciones municipales del Estado miembro en que resida, en las mismas
condiciones que los nacionales de ese estado.
D) Ninguna es correcta.
Respuesta Correcta: C"
183,"Todo ciudadano de la Unión tendrá derecho, en el territorio de un tercer país en el que no esté representado el
Estado miembro del que sea nacional a:","La protección de las autoridades diplomáticas o consulares de cualquier Estado miembro, en las mismas condiciones que los nacionales de ese Estado.",La protección de las autoridades diplomáticas del país de destino.,La protección de las autoridades diplomáticas del país de origen y Bélgica.,Ninguna es correcta.,A,"La protección de las autoridades diplomáticas o consulares de cualquier Estado miembro, en las mismas condiciones que los nacionales de ese Estado.","183. Todo ciudadano de la Unión tendrá derecho, en el territorio de un tercer país en el que no esté representado el
Estado miembro del que sea nacional a:
A) La protección de las autoridades diplomáticas o consulares de cualquier Estado miembro, en las mismas
condiciones que los nacionales de ese Estado.
B) La protección de las autoridades diplomáticas del país de destino.
C) La protección de las autoridades diplomáticas del país de origen y Bélgica.

D) Ninguna es correcta.
Respuesta Correcta: A"
184,Todo ciudadano de la Unión Europea tendrá derecho de petición al:,Parlamento Europeo.,Defensor del Pueblo.,Diputado del Común.,Banco de la Unión.,A,Parlamento Europeo.,"184. Todo ciudadano de la Unión Europea tendrá derecho de petición al:
A) Parlamento Europeo.
B) Defensor del Pueblo.
C) Diputado del Común.
D) Banco de la Unión.
Respuesta Correcta: A"
185,Quedan prohibidos entre los Estados miembros de la Unión Europea los derechos de aduana de:,Importación.,Exportación.,Las exacciones de efecto equivalente.,Todas son correctas.,D,Todas son correctas.,"185. Quedan prohibidos entre los Estados miembros de la Unión Europea los derechos de aduana de:
A) Importación.
B) Exportación.
C) Las exacciones de efecto equivalente.
D) Todas son correctas.
Respuesta Correcta: D"
186,La asistencia sanitaria se organiza en los siguientes niveles:,Atención primaria y atención especializada.,Asistencia primaria y asistencia hospitalaria.,Centros de Salud y Hospitales.,Ninguna respuesta es correcta.,A,Atención primaria y atención especializada.,"186. La asistencia sanitaria se organiza en los siguientes niveles:
A) Atención primaria y atención especializada.
B) Asistencia primaria y asistencia hospitalaria.
C) Centros de Salud y Hospitales.
D) Ninguna respuesta es correcta.
Respuesta Correcta: A"
187,Constituye la base del sistema sanitario público:,La atención primaria.,La atención especializada.,Ambas.,Ninguna.,A,La atención primaria.,"187. Constituye la base del sistema sanitario público:

A) La atención primaria.
B) La atención especializada.
C) Ambas.
D) Ninguna.
Respuesta Correcta: A"
188,Un Equipo de Atención Primaria es:,"El conjunto de profesionales sanitarios del Servicio Canario de la Salud que desarrolla, en el ámbito de la Zona Básica de Salud de manera integrada, mediante el trabajo en equipo y bajo la dirección del Director de la Zona, actividades relativas a la promoción y protección de la salud, prevención de la enfermedad y a la curación y rehabilitación de la salud individual y colectiva de la población de la Zona.","El conjunto de profesionales sanitarios y no sanitarios del Servicio Canario de la Salud que desarrolla, en el ámbito de la Zona Básica de Salud de manera integrada, mediante el trabajo en equipo y bajo la dirección del Director de la Zona, actividades relativas a la promoción y protección de la salud, prevención de la enfermedad y a la curación y rehabilitación de la salud individual y colectiva de la población de la Zona.","El conjunto de profesionales sanitarios y no sanitarios del Servicio Canario de la Salud que desarrolla, en el ámbito del Área de Salud de manera integrada, mediante el trabajo en equipo y bajo la dirección del Director de Área, actividades relativas a la promoción y protección de la salud, prevención de la enfermedad y a la curación y rehabilitación de la salud individual y colectiva de la población de la Zona.",Ninguna respuesta es correcta.,B,"El conjunto de profesionales sanitarios y no sanitarios del Servicio Canario de la Salud que desarrolla, en el ámbito de la Zona Básica de Salud de manera integrada, mediante el trabajo en equipo y bajo la dirección del Director de la Zona, actividades relativas a la promoción y protección de la salud, prevención de la enfermedad y a la curación y rehabilitación de la salud individual y colectiva de la población de la Zona.","188. Un Equipo de Atención Primaria es:
A) El conjunto de profesionales sanitarios del Servicio Canario de la Salud que desarrolla, en el ámbito de la
Zona Básica de Salud de manera integrada, mediante el trabajo en equipo y bajo la dirección del Director de
la Zona, actividades relativas a la promoción y protección de la salud, prevención de la enfermedad y a la
curación y rehabilitación de la salud individual y colectiva de la población de la Zona.
B) El conjunto de profesionales sanitarios y no sanitarios del Servicio Canario de la Salud que desarrolla, en el
ámbito de la Zona Básica de Salud de manera integrada, mediante el trabajo en equipo y bajo la dirección
del Director de la Zona, actividades relativas a la promoción y protección de la salud, prevención de la
enfermedad y a la curación y rehabilitación de la salud individual y colectiva de la población de la Zona.
C) El conjunto de profesionales sanitarios y no sanitarios del Servicio Canario de la Salud que desarrolla, en el
ámbito del Área de Salud de manera integrada, mediante el trabajo en equipo y bajo la dirección del Director
de Área, actividades relativas a la promoción y protección de la salud, prevención de la enfermedad y a la
curación y rehabilitación de la salud individual y colectiva de la población de la Zona.
D) Ninguna respuesta es correcta.
Respuesta Correcta: B"
189,Las estructuras de atención primaria desarrollan sus actividades:,En el marco territorial de su Zona Básica de Salud.,En el marco territorial de su Área de Salud.,En el marco territorial de su Centro de Salud.,La opción a y en el marco territorial de su municipio.,A,En el marco territorial de su Zona Básica de Salud.,"189. Las estructuras de atención primaria desarrollan sus actividades:
A) En el marco territorial de su Zona Básica de Salud.
B) En el marco territorial de su Área de Salud.
C) En el marco territorial de su Centro de Salud.
D) La opción a y en el marco territorial de su municipio.

Respuesta Correcta: A"
190,La asistencia sanitaria especializada es:,Siempre hospitalaria.,Extrahospitalaria.,Hospitalaria y extrahospitalaria.,Ninguna respuesta es correcta.,C,Hospitalaria y extrahospitalaria.,"190. La asistencia sanitaria especializada es:
A) Siempre hospitalaria.
B) Extrahospitalaria.
C) Hospitalaria y extrahospitalaria.
D) Ninguna respuesta es correcta.
Respuesta Correcta: C"
191,La atención sanitaria de urgencias:,Es práctica habitual pero no está recogida en la normativa sanitaria canaria.,Está regulada en el Decreto de organización y funcionamiento del Servicio Canario de la Salud.,"Está regulada expresamente en la Ley 11/1994, de 26 de julio, de Ordenación Sanitaria de Canarias.",Nada de lo anterior es cierto.,C,"Está regulada expresamente en la Ley 11/1994, de 26 de julio, de Ordenación Sanitaria de Canarias.","191. La atención sanitaria de urgencias:
A) Es práctica habitual pero no está recogida en la normativa sanitaria canaria.
B) Está regulada en el Decreto de organización y funcionamiento del Servicio Canario de la Salud.
C) Está regulada expresamente en la Ley 11/1994, de 26 de julio, de Ordenación Sanitaria de Canarias.
D) Nada de lo anterior es cierto.
Respuesta Correcta: C"
192,"La participación en los programas médico-preventivos, de salud pública y de protección sanitaria de grupos
sociales con riesgos sanitarios que específicamente se determinen, es una actividad que se desarrolla en el nivel
de:",Atención primaria de la salud.,Atención especializada.,Ambos niveles.,Ninguna respuesta es correcta.,A,Atención primaria de la salud.,"192. La participación en los programas médico-preventivos, de salud pública y de protección sanitaria de grupos
sociales con riesgos sanitarios que específicamente se determinen, es una actividad que se desarrolla en el nivel
de:
A) Atención primaria de la salud.
B) Atención especializada.
C) Ambos niveles.
D) Ninguna respuesta es correcta.

Respuesta Correcta: A"
193,La atención sanitaria a la demanda urgente es prestada:,"Como una actividad más de la asistencia sanitaria, por la Red de Asistencia Urgente, integrada por los centros y servicios sanitarios acreditados por el Servicio Canario de la Salud, de acuerdo con las determinaciones del Plan Canario de Urgencia.","Como una actividad aparte y excepcional de la asistencia sanitaria, por la Red de Asistencia Urgente, integrada por los centros y servicios sanitarios acreditados por el Servicio Canario de la Salud, de acuerdo con las determinaciones del Plan Canario de Urgencia.","Como una actividad más de la asistencia sanitaria, por la Red de Asistencia Urgente, integrada por los centros y servicios sanitarios acreditados por el Sistema Nacional de Salud, de acuerdo con las determinaciones del Plan Nacional de Urgencia.",Ninguna respuesta es correcta.,A,"Como una actividad más de la asistencia sanitaria, por la Red de Asistencia Urgente, integrada por los centros y servicios sanitarios acreditados por el Servicio Canario de la Salud, de acuerdo con las determinaciones del Plan Canario de Urgencia.","193. La atención sanitaria a la demanda urgente es prestada:
A) Como una actividad más de la asistencia sanitaria, por la Red de Asistencia Urgente, integrada por los
centros y servicios sanitarios acreditados por el Servicio Canario de la Salud, de acuerdo con las
determinaciones del Plan Canario de Urgencia.
B) Como una actividad aparte y excepcional de la asistencia sanitaria, por la Red de Asistencia Urgente,
integrada por los centros y servicios sanitarios acreditados por el Servicio Canario de la Salud, de acuerdo
con las determinaciones del Plan Canario de Urgencia.
C) Como una actividad más de la asistencia sanitaria, por la Red de Asistencia Urgente, integrada por los
centros y servicios sanitarios acreditados por el Sistema Nacional de Salud, de acuerdo con las
determinaciones del Plan Nacional de Urgencia.
D) Ninguna respuesta es correcta.
Respuesta Correcta: A"
194,"La Ley 11/1994, de 26 de julio, de Ordenación Sanitaria de Canarias dedica a regular la Estructura Pública
Sanitaria de Canarias, y, en concreto, la Asistencia Sanitaria en Canarias:",El capítulo II del Título III.,El capítulo II del Título II.,El capítulo III del Título III.,El capítulo III del Título II.,D,El capítulo III del Título II.,"194. La Ley 11/1994, de 26 de julio, de Ordenación Sanitaria de Canarias dedica a regular la Estructura Pública
Sanitaria de Canarias, y, en concreto, la Asistencia Sanitaria en Canarias:
A) El capítulo II del Título III.
B) El capítulo II del Título II.
C) El capítulo III del Título III.
D) El capítulo III del Título II.
Respuesta Correcta: D"
195,"Según lo dispuesto en el Real Decreto 521/1987, de 15 de abril, quedan adscritas a la Gerencia del hospital las
siguientes áreas de actividad: Indique la RESPUESTA FALSA:",Orden interno y seguridad,Asesoría jurídica,"Admisión, recepción e información",Control de gestión,A,Orden interno y seguridad,"195. Según lo dispuesto en el Real Decreto 521/1987, de 15 de abril, quedan adscritas a la Gerencia del hospital las
siguientes áreas de actividad: Indique la RESPUESTA FALSA:
A) Orden interno y seguridad
B) Asesoría jurídica

C) Admisión, recepción e información
D) Control de gestión
Respuesta Correcta: A"
196,"Según lo dispuesto en el Real Decreto 521/1987, de 15 de abril, la dirección, supervisión, coordinación y
evaluación del funcionamiento de los servicios médicos y otros servicios sanitarios del hospital es función de:",Gerencia del hospital,Dirección Médica,Dirección médica y dirección de enfermería,Ninguna respuesta es correcta,B,Dirección Médica,"196. Según lo dispuesto en el Real Decreto 521/1987, de 15 de abril, la dirección, supervisión, coordinación y
evaluación del funcionamiento de los servicios médicos y otros servicios sanitarios del hospital es función de:
A) Gerencia del hospital
B) Dirección Médica
C) Dirección médica y dirección de enfermería
D) Ninguna respuesta es correcta
Respuesta Correcta: B"
197,"Según lo dispuesto en el Real Decreto 521/1987, de 15 de abril, quedan adscritas a la División de Gestión y
Servicios Generales las siguientes áreas de actividad: Indique la RESPUESTA FALSA:",Política de personal,Suministros,Hostelería,Obras y mantenimiento,A,Política de personal,"197. Según lo dispuesto en el Real Decreto 521/1987, de 15 de abril, quedan adscritas a la División de Gestión y
Servicios Generales las siguientes áreas de actividad: Indique la RESPUESTA FALSA:
A) Política de personal
B) Suministros
C) Hostelería
D) Obras y mantenimiento
Respuesta Correcta: A"
198,"Según lo dispuesto en el Real Decreto 521/1987, de 15 de abril , el órgano colegiado de Dirección del hospital
presidido por el Director Gerente, e integrado por los Directores Médico, de Enfermería y de Gestión y Servicios
Generales, y el Subdirector Gerente y Subdirectores de División, si los hubiere, se llama:",Junta técnico asistencial,Comisión de Dirección,Comisión de participación hospitalaria,Dicho órgano colegiado no existe,B,Comisión de Dirección,"198. Según lo dispuesto en el Real Decreto 521/1987, de 15 de abril , el órgano colegiado de Dirección del hospital
presidido por el Director Gerente, e integrado por los Directores Médico, de Enfermería y de Gestión y Servicios
Generales, y el Subdirector Gerente y Subdirectores de División, si los hubiere, se llama:
A) Junta técnico asistencial

B) Comisión de Dirección
C) Comisión de participación hospitalaria
D) Dicho órgano colegiado no existe
Respuesta Correcta: B"
199,"Según lo dispuesto en el Real Decreto 521/1987, de 15 de abril, el Servicio de Atención al Paciente estará a
disposición de atender personalmente al mismo, o a sus parientes próximos, representantes o acompañantes, y
en particular proporcionará información a los pacientes y a sus familiares sobre:","El estado de salud de los pacientes, y la organización del hospital","El estado de salud de los pacientes, la organización del hospital y los servicios disponibles","El estado de salud de los pacientes, la organización del hospital y los servicios disponibles horarios de funcionamiento y de visitas y otras actividades que puedan contribuir a ayudarles, facilitarles y mejorar su estancia en el mismo","La organización del hospital y los servicios disponibles horarios de funcionamiento y de visitas y otras actividades que puedan contribuir a ayudarles, facilitarles y mejorar su estancia en el mismo",D,"La organización del hospital y los servicios disponibles horarios de funcionamiento y de visitas y otras actividades que puedan contribuir a ayudarles, facilitarles y mejorar su estancia en el mismo","199. Según lo dispuesto en el Real Decreto 521/1987, de 15 de abril, el Servicio de Atención al Paciente estará a
disposición de atender personalmente al mismo, o a sus parientes próximos, representantes o acompañantes, y
en particular proporcionará información a los pacientes y a sus familiares sobre:
A) El estado de salud de los pacientes, y la organización del hospital
B) El estado de salud de los pacientes, la organización del hospital y los servicios disponibles
C) El estado de salud de los pacientes, la organización del hospital y los servicios disponibles horarios de
funcionamiento y de visitas y otras actividades que puedan contribuir a ayudarles, facilitarles y mejorar su
estancia en el mismo
D) La organización del hospital y los servicios disponibles horarios de funcionamiento y de visitas y otras
actividades que puedan contribuir a ayudarles, facilitarles y mejorar su estancia en el mismo
Respuesta Correcta: D"
200,"Según lo dispuesto en los artículos 11 y 13 del Real Decreto 521/1987, de 15 de abril  , quedan adscritas a la
División de enfermería las siguientes áreas: Indique la RESPUESTA FALSA:",Quirófanos,Urgencias,Servicios centrales,Consultas externas,C,Servicios centrales,"200. Según lo dispuesto en los artículos 11 y 13 del Real Decreto 521/1987, de 15 de abril  , quedan adscritas a la
División de enfermería las siguientes áreas: Indique la RESPUESTA FALSA:
A) Quirófanos
B) Urgencias
C) Servicios centrales
D) Consultas externas
Respuesta Correcta: C"
201,"El objeto del Decreto 116/2006, dentro del marco normativo básico, es la regulación de la organización, gestión y
del sistema de información de las siguientes listas de espera:",Lista de espera quirúrgica.,Lista de espera quirúrgica y lista de espera de consulta especializada.,Lista de espera quirúrgica y lista de espera de consulta especializada y pruebas diagnósticas/terapéuticas.,Lista de espera de consulta especializada.,C,Lista de espera quirúrgica y lista de espera de consulta especializada y pruebas diagnósticas/terapéuticas.,"201. El objeto del Decreto 116/2006, dentro del marco normativo básico, es la regulación de la organización, gestión y
del sistema de información de las siguientes listas de espera:

A) Lista de espera quirúrgica.
B) Lista de espera quirúrgica y lista de espera de consulta especializada.
C) Lista de espera quirúrgica y lista de espera de consulta especializada y pruebas diagnósticas/terapéuticas.
D) Lista de espera de consulta especializada.
Respuesta Correcta: C"
202,"En cuanto al ámbito de aplicación, el Decreto 116/2006 se aplicará:",A todos los centros y servicios de la Red Hospitalaria de Utilización Pública y Privada del Servicio Canario de la Salud y a los centros y servicios concertados.,A todos los centros y servicios de la Red Hospitalaria de Utilización Pública del Servicio Canario de la Salud.,A todos los centros y servicios de la Red Hospitalaria de Utilización Pública del Servicio Canario de la Salud y a los centros y servicios concertados.,Ninguna es correcta.,C,A todos los centros y servicios de la Red Hospitalaria de Utilización Pública del Servicio Canario de la Salud y a los centros y servicios concertados.,"202. En cuanto al ámbito de aplicación, el Decreto 116/2006 se aplicará:
A) A todos los centros y servicios de la Red Hospitalaria de Utilización Pública y Privada del Servicio Canario
de la Salud y a los centros y servicios concertados.
B) A todos los centros y servicios de la Red Hospitalaria de Utilización Pública del Servicio Canario de la Salud.
C) A todos los centros y servicios de la Red Hospitalaria de Utilización Pública del Servicio Canario de la Salud
y a los centros y servicios concertados.
D) Ninguna es correcta.
Respuesta Correcta: C"
203,"Están expresamente excluidas del ámbito de aplicación del Decreto 116/2006, las siguientes prestaciones
sanitarias:",Intervenciones quirúrgicas para trasplante de órganos y tejidos.,Intervenciones quirúrgicas sobre uretra.,Intervenciones quirúrgicas para fisura anal.,Intervenciones quirúrgicas en general.,A,Intervenciones quirúrgicas para trasplante de órganos y tejidos.,"203. Están expresamente excluidas del ámbito de aplicación del Decreto 116/2006, las siguientes prestaciones
sanitarias:
A) Intervenciones quirúrgicas para trasplante de órganos y tejidos.
B) Intervenciones quirúrgicas sobre uretra.
C) Intervenciones quirúrgicas para fisura anal.
D) Intervenciones quirúrgicas en general.
Respuesta Correcta: A"
204,"El desarrollo e implantación de las medidas para la reducción de las listas de espera establecidas en el citado
Decreto 116/2006, de 1 de agosto, le corresponde a:",La Dirección del Servicio Canario de la Salud.,La Dirección General de Programas Asistenciales.,La Dirección General de Salud Pública.,La Gerencia del Área de Salud.,B,La Dirección General de Programas Asistenciales.,"204. El desarrollo e implantación de las medidas para la reducción de las listas de espera establecidas en el citado
Decreto 116/2006, de 1 de agosto, le corresponde a:

A) La Dirección del Servicio Canario de la Salud.
B) La Dirección General de Programas Asistenciales.
C) La Dirección General de Salud Pública.
D) La Gerencia del Área de Salud.
Respuesta Correcta: B"
205,"El seguimiento y evaluación de las medidas adoptadas para la reducción de las listas de espera contempladas en
el Decreto 116/2006, de 1 de agosto, es función de:",La Dirección del Servicio Canario de la Salud.,La Dirección General de Programas Asistenciales.,La Dirección General de Salud Pública.,La Gerencia del Área de Salud.,A,La Dirección del Servicio Canario de la Salud.,"205. El seguimiento y evaluación de las medidas adoptadas para la reducción de las listas de espera contempladas en
el Decreto 116/2006, de 1 de agosto, es función de:
A) La Dirección del Servicio Canario de la Salud.
B) La Dirección General de Programas Asistenciales.
C) La Dirección General de Salud Pública.
D) La Gerencia del Área de Salud.
Respuesta Correcta: A"
206,"La Consejería competente en materia de sanidad, teniendo en cuenta las previsiones reguladas en la normativa
básica, proporcionará la siguiente información general sobre las listas de espera:",Estado de situación de las listas de espera en la Comunidad Autónoma de Canarias.,Tiempos máximos de espera en cada una de las listas.,Proporcionará ambas informaciones.,La Consejería no es competente para proporcionar dicha información.,C,Proporcionará ambas informaciones.,"206. La Consejería competente en materia de sanidad, teniendo en cuenta las previsiones reguladas en la normativa
básica, proporcionará la siguiente información general sobre las listas de espera:
A) Estado de situación de las listas de espera en la Comunidad Autónoma de Canarias.
B) Tiempos máximos de espera en cada una de las listas.
C) Proporcionará ambas informaciones.
D) La Consejería no es competente para proporcionar dicha información.
Respuesta Correcta: C"
207,"El inicio del cómputo del tiempo máximo de permanencia en lista de espera para intervenciones quirúrgicas se
efectuará a partir:",Del primer día del mes siguiente a la prescripción por el facultativo.,Del mismo día de la prescripción por el facultativo.,Del día siguiente al de la prescripción por el facultativo.,Ninguna es correcta.,C,Del día siguiente al de la prescripción por el facultativo.,"207. El inicio del cómputo del tiempo máximo de permanencia en lista de espera para intervenciones quirúrgicas se
efectuará a partir:

A) Del primer día del mes siguiente a la prescripción por el facultativo.
B) Del mismo día de la prescripción por el facultativo.
C) Del día siguiente al de la prescripción por el facultativo.
D) Ninguna es correcta.
Respuesta Correcta: C"
208,La Oficina de Defensa de los Derechos de los Usuarios Sanitarios tiene dependencia:,Funcional de la Consejería competente en materia de sanidad y orgánica de la Dirección del Servicio Canario de la Salud.,Orgánica de la Consejería competente en materia de sanidad y funcional de la Dirección del Servicio Canario de la Salud.,Orgánica y funcional de la Consejería competente en materia de sanidad.,Orgánica y funcional de la Dirección del Servicio Canario de la Salud.,C,Orgánica y funcional de la Consejería competente en materia de sanidad.,"208. La Oficina de Defensa de los Derechos de los Usuarios Sanitarios tiene dependencia:
A) Funcional de la Consejería competente en materia de sanidad y orgánica de la Dirección del Servicio
Canario de la Salud.
B) Orgánica de la Consejería competente en materia de sanidad y funcional de la Dirección del Servicio
Canario de la Salud.
C) Orgánica y funcional de la Consejería competente en materia de sanidad.
D) Orgánica y funcional de la Dirección del Servicio Canario de la Salud.
Respuesta Correcta: C"
209,Las quejas de los usuarios sobre su insatisfacción por los servicios sanitarios recibido se denominan:,Solicitudes.,Sugerencias.,Reclamaciones.,Iniciativas.,C,Reclamaciones.,"209. Las quejas de los usuarios sobre su insatisfacción por los servicios sanitarios recibido se denominan:
A) Solicitudes.
B) Sugerencias.
C) Reclamaciones.
D) Iniciativas.
Respuesta Correcta: C"
210,"Las demandas de información escrita sobre servicios y prestaciones sanitarias, derechos y deberes de los
usuarios, procedimientos, normativa y demás cuestiones de naturaleza sanitaria se denominan:",Solicitudes.,Sugerencias.,Reclamaciones.,Iniciativas,A,Solicitudes.,"210. Las demandas de información escrita sobre servicios y prestaciones sanitarias, derechos y deberes de los
usuarios, procedimientos, normativa y demás cuestiones de naturaleza sanitaria se denominan:

A) Solicitudes.
B) Sugerencias.
C) Reclamaciones.
D) Iniciativas
Respuesta Correcta: A"
211,"Las propuestas que formulan los usuarios para mejorar el grado de cumplimiento y observancia de los derechos
y de los deberes de los usuarios, del funcionamiento de los servicios sanitarios y del cuidado y atención de los
enfermos se denominan:",Solicitudes.,Iniciativas.,Reclamaciones.,Sugerencias.,B,Iniciativas.,"211. Las propuestas que formulan los usuarios para mejorar el grado de cumplimiento y observancia de los derechos
y de los deberes de los usuarios, del funcionamiento de los servicios sanitarios y del cuidado y atención de los
enfermos se denominan:
A) Solicitudes.
B) Iniciativas.
C) Reclamaciones.
D) Sugerencias.
Respuesta Correcta: B"
212,La respuesta a las reclamaciones deberá ser adoptada y notificada en el plazo de:,1 mes.,2 meses.,3 meses.,6 meses.,B,2 meses.,"212. La respuesta a las reclamaciones deberá ser adoptada y notificada en el plazo de:
A) 1 mes.
B) 2 meses.
C) 3 meses.
D) 6 meses.
Respuesta Correcta: B"
213,El plazo para contestar las solicitudes es de:,1 mes.,2 meses.,3 meses.,6 meses.,A,1 mes.,"213. El plazo para contestar las solicitudes es de:

A) 1 mes.
B) 2 meses.
C) 3 meses.
D) 6 meses.
Respuesta Correcta: A"
214,El plazo para contestar de las iniciativas y sugerencias es de:,1 mes.,2 meses.,3 meses.,6 meses.,B,2 meses.,"214. El plazo para contestar de las iniciativas y sugerencias es de:
A) 1 mes.
B) 2 meses.
C) 3 meses.
D) 6 meses.
Respuesta Correcta: B"
215,"Corresponde a la oficina, en el área de información:","Velar por el eficaz cumplimiento del deber de información y asesoramiento a los usuarios sanitarios y beneficiarios del Sistema Canario de la Salud, de sus derechos y deberes sanitarios, de los servicios y prestaciones sanitarias a las que pueden acceder, así como de los requisitos necesarios para su ejercicio.",Elaborar la Memoria Semestral de la Oficina.,"Divulgar y difundir información sobre determinados procesos sanitarios que a juicio del Jefe de la Oficina, resulten ser de interés para los usuarios sanitarios en general.",Todas las respuestas anteriores son correctas.,A,"Velar por el eficaz cumplimiento del deber de información y asesoramiento a los usuarios sanitarios y beneficiarios del Sistema Canario de la Salud, de sus derechos y deberes sanitarios, de los servicios y prestaciones sanitarias a las que pueden acceder, así como de los requisitos necesarios para su ejercicio.","215. Corresponde a la oficina, en el área de información:
A) Velar por el eficaz cumplimiento del deber de información y asesoramiento a los usuarios sanitarios y
beneficiarios del Sistema Canario de la Salud, de sus derechos y deberes sanitarios, de los servicios y
prestaciones sanitarias a las que pueden acceder, así como de los requisitos necesarios para su ejercicio.
B) Elaborar la Memoria Semestral de la Oficina.
C) Divulgar y difundir información sobre determinados procesos sanitarios que a juicio del Jefe de la Oficina,
resulten ser de interés para los usuarios sanitarios en general.
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: A"
216,Son principios por los que debe regirse la actuación de la Oficina:,Respeto a la autonomía profesional,"Confidencialidad de la identidad y de los restantes datos del usuario sanitario, salvo cuando la naturaleza del trámite no lo permita",Transparencia en sus actuaciones y participación,Todas las anteriores respuestas son correctas,D,Todas las anteriores respuestas son correctas,"216. Son principios por los que debe regirse la actuación de la Oficina:

A) Respeto a la autonomía profesional
B) Confidencialidad de la identidad y de los restantes datos del usuario sanitario, salvo cuando la naturaleza del
trámite no lo permita
C) Transparencia en sus actuaciones y participación
D) Todas las anteriores respuestas son correctas
Respuesta Correcta: D"
217,El Derecho Administrativo regula:,La organización administrativa,Las relaciones entre los entes públicos,Las relaciones entre los entes públicos y los particulares,Todas las respuestas anteriores son correctas,D,Todas las respuestas anteriores son correctas,"217. El Derecho Administrativo regula:
A) La organización administrativa
B) Las relaciones entre los entes públicos
C) Las relaciones entre los entes públicos y los particulares
D) Todas las respuestas anteriores son correctas
Respuesta Correcta: D"
218,"El sometimiento de la Administración al Derecho privado se recoge, entre otros:",En el art. 9.1 de la Constitución Española,"En el art. 3.b de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas","En el art. 56.2 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas",Ninguna de las respuestas anteriores es correcta,A,En el art. 9.1 de la Constitución Española,"218. El sometimiento de la Administración al Derecho privado se recoge, entre otros:
A) En el art. 9.1 de la Constitución Española
B) En el art. 3.b de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las
Administraciones Públicas
C) En el art. 56.2 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las
Administraciones Públicas
D) Ninguna de las respuestas anteriores es correcta
Respuesta Correcta: A"
219,Son fuentes formales del Derecho Administrativo:,La Constitución,Los reglamentos,Las leyes,Todas las respuestas anteriores son correctas,D,Todas las respuestas anteriores son correctas,"219. Son fuentes formales del Derecho Administrativo:
A) La Constitución
B) Los reglamentos
C) Las leyes
D) Todas las respuestas anteriores son correctas

Respuesta Correcta: D"
220,¿Cuál de las siguientes afirmaciones es incorrecta?,Una norma posterior deroga a una norma anterior de igual rango,Una ley general prevalece frente a una ley especial,Una norma de rango inferior no puede contradecir una norma de rango superior,La Constitución prevalece sobre cualquier otra norma jurídica,B,Una ley general prevalece frente a una ley especial,"220. ¿Cuál de las siguientes afirmaciones es incorrecta?
A) Una norma posterior deroga a una norma anterior de igual rango
B) Una ley general prevalece frente a una ley especial
C) Una norma de rango inferior no puede contradecir una norma de rango superior
D) La Constitución prevalece sobre cualquier otra norma jurídica
Respuesta Correcta: B"
221,"Son principios constitucionales rectores de la organización y actuación de las Administraciones Públicas
recogidos en el art. 103 de la Constitución Española:","Eficiencia, jerarquía, descentralización, desconcentración y coordinación","Jerarquía, eficacia, descentralización, desconcentración y coordinación con sometimiento pleno a la ley y al Derecho","Eficiencia, jerarquía, descentralización, desconcentración y coordinación con sometimiento pleno a la ley y al Derecho",Ninguna de las anteriores respuestas es correcta,B,"Jerarquía, eficacia, descentralización, desconcentración y coordinación con sometimiento pleno a la ley y al Derecho","221. Son principios constitucionales rectores de la organización y actuación de las Administraciones Públicas
recogidos en el art. 103 de la Constitución Española:
A) Eficiencia, jerarquía, descentralización, desconcentración y coordinación
B) Jerarquía, eficacia, descentralización, desconcentración y coordinación con sometimiento pleno a la ley y al
Derecho
C) Eficiencia, jerarquía, descentralización, desconcentración y coordinación con sometimiento pleno a la ley y al
Derecho
D) Ninguna de las anteriores respuestas es correcta
Respuesta Correcta: B"
222,Son clases de reglamentos por su relación con la ley:,"Ejecutivos, independientes y de necesidad","Ejecutivos, corporativos y de necesidad","Ejecutivos, fiscales, locales y de necesidad",Ninguna de las anteriores respuestas es correcta,A,"Ejecutivos, independientes y de necesidad","222. Son clases de reglamentos por su relación con la ley:
A) Ejecutivos, independientes y de necesidad
B) Ejecutivos, corporativos y de necesidad
C) Ejecutivos, fiscales, locales y de necesidad
D) Ninguna de las anteriores respuestas es correcta
Respuesta Correcta: A"
